Protein Id,Gene Symbol,Description,Number of peptides,PDX_1,PDX_2,PDX_3,PDXp53_1,PDXp53_2,PDXp53_3,D314,D693,D705,D751,D756,Id,Average norm WT,Average norm G12D,Average norm G12D/Average norm WT
sp|P97427|DPYL1_MOUSE,Crmp1,DPYL1_MOUSE Dihydropyrimidinase-related protein 1,4,2.35647,2.19518,2.02709,2.89557,2.42236,2.25358,6.26024,6.82416,7.41571,54.6517,10.6979,292,2.358375,17.169942,7.280412148
tr|E9Q4N7|E9Q4N7_MOUSE,Arid1b,E9Q4N7_MOUSE Protein Arid1b,6,5.60733,5.11814,5.88634,5.61226,6.27702,5.89434,11.8547,12.3763,14.0938,12.2114,15.0683,652,5.732571667,13.1209,2.288833139
tr|E9QAQ7|E9QAQ7_MOUSE,Arid1a,E9QAQ7_MOUSE AT-rich interactive domain-containing protein 1A,8,5.64546,6.32021,4.87847,5.71566,5.94647,6.64775,11.1844,12.5096,12.8006,11.8005,16.5508,8123,5.859003333,12.96918,2.213547128
tr|Q8C845|Q8C845_MOUSE,Efhd2,Q8C845_MOUSE EF-hand domain-containing protein D2,25,4.52237,4.73027,4.70802,4.69402,5.57255,4.84759,8.92483,7.10772,22.2669,5.54015,27.0855,28,4.845803333,14.18502,2.927279343
sp|Q8BIJ7|RUFY1_MOUSE,Rufy1,RUFY1_MOUSE RUN and FYVE domain-containing protein 1,2,10.9998,9.17141,11.6564,9.65587,10.5152,9.68683,6.96945,5.36533,10.1357,5.91031,9.93376,2069,10.28091833,7.66291,0.745352677
sp|Q9D061|ACBD6_MOUSE,Acbd6,ACBD6_MOUSE Acyl-CoA-binding domain-containing protein 6,2,9.33941,7.22604,8.76777,8.82142,9.405,10.2682,6.89048,10.4752,10.8596,9.90975,8.03716,30,8.971306667,9.234438,1.029330324
sp|Q62009|POSTN_MOUSE,Postn,POSTN_MOUSE Periostin,42,1.21252,1.83498,1.01694,1.24131,1.5275,1.5762,18.9061,29.3933,14.7457,13.8524,14.693,8124,1.401575,18.3181,13.06965378
sp|A2AGT5|CKAP5_MOUSE,Ckap5,CKAP5_MOUSE Cytoskeleton-associated protein 5,8,6.84414,7.04732,6.95445,6.52878,7.38992,6.89372,12.9662,7.02681,11.5182,13.6295,13.201,35,6.943055,11.668342,1.680577498
sp|Q5NCR9|NSRP1_MOUSE,Nsrp1,NSRP1_MOUSE Nuclear speckle splicing regulatory protein 1,3,5.98296,6.62668,5.92404,6.56399,5.24257,6.31118,11.3715,12.5517,11.9615,13.5514,13.9125,4838,6.10857,12.66972,2.074089353
sp|Q61941|NNTM_MOUSE,Nnt,"NNTM_MOUSE NAD(P) transhydrogenase, mitochondrial",32,9.42664,14.7343,10.2981,15.9583,16.1855,10.59,4.43151,6.18106,4.56812,3.5407,4.0857,8125,12.86547333,4.561418,0.354547235
sp|D3Z6P0|PDIA2_MOUSE,Pdia2,PDIA2_MOUSE Protein disulfide-isomerase A2,130,16.157,16.9701,15.8995,15.5742,16.0366,15.6018,0.939166,1.11208,0.738998,0.368042,0.602602,4166,16.03986667,0.7521776,0.046894255
sp|G5E8K5-2|ANK3_MOUSE,Ank3,ANK3_MOUSE Isoform 2 of Ankyrin-3,18,12.6726,11.9811,11.2284,13.6234,13.0669,12.4462,6.5106,6.36089,4.31501,4.81611,2.97881,1208,12.5031,4.996284,0.399603618
sp|Q8C8R3|ANK2_MOUSE,Ank2,ANK2_MOUSE Ankyrin-2,6,5.52134,4.34071,4.30081,5.68178,5.65653,4.88109,12.5623,11.4212,16.8549,11.9607,16.8186,8126,5.06371,13.92354,2.749671683
sp|Q8VE47|UBA5_MOUSE,Uba5,UBA5_MOUSE Ubiquitin-like modifier-activating enzyme 5,26,13.0748,13.3981,13.1555,13.5271,13.9813,14.2518,3.97247,3.99808,3.96082,2.93815,3.74188,40,13.56476667,3.72228,0.274407964
sp|P30999|CTND1_MOUSE,Ctnnd1,CTND1_MOUSE Catenin delta-1,29,7.31343,7.04077,7.47656,6.76668,8.09769,7.96005,12.8172,15.3827,11.164,7.95456,8.02641,43,7.44253,11.068974,1.487259574
sp|Q9D8N0|EF1G_MOUSE,Eef1g,EF1G_MOUSE Elongation factor 1-gamma,77,12.9938,13.5176,13.6134,12.1609,12.5137,12.9342,4.56324,3.61588,3.98979,6.10819,3.98938,44,12.9556,4.453296,0.343735219
sp|Q9JIF7|COPB_MOUSE,Copb1,COPB_MOUSE Coatomer subunit beta,59,11.9035,12.7677,13.9814,12.4822,12.4552,12.1761,4.80772,4.66373,4.93032,4.83326,4.99891,46,12.62768333,4.846788,0.383822422
sp|Q9D7Z3|NOL7_MOUSE,Nol7,NOL7_MOUSE Nucleolar protein 7,1,13.7008,12.9943,13.7823,13.7632,11.1134,12.7127,2.10488,2.22415,1.3352,14.3854,1.88359,47,13.01111667,4.386644,0.337145851
sp|Q921M4|GOGA2_MOUSE,Golga2,GOGA2_MOUSE Golgin subfamily A member 2,21,10.5597,13.7063,10.5979,10.5506,10.9224,12.7725,7.09428,6.72885,5.56144,5.70427,5.80181,3129,11.51823333,6.17813,0.536378264
sp|Q68FH0|PKP4_MOUSE,Pkp4,PKP4_MOUSE Plakophilin-4,3,10.0114,11.5173,9.48766,9.28586,9.67106,10.0911,8.19821,11.1962,7.87572,6.56017,6.10529,48,10.01073,7.987118,0.797855701
sp|O08784|TCOF_MOUSE,Tcof1,TCOF_MOUSE Treacle protein,10,4.15066,4.53523,4.13353,4.34732,4.87237,4.64244,13.445,11.4383,14.1384,17.568,16.7288,51,4.446925,14.6637,3.297492087
sp|Q9Z2D6|MECP2_MOUSE,Mecp2,MECP2_MOUSE Methyl-CpG-binding protein 2,8,9.27255,9.98771,7.79564,9.81683,9.58096,9.64603,8.9643,11.0831,7.32334,8.60206,7.92745,4681,9.349953333,8.78005,0.939047468
sp|Q4LDD4|ARAP1_MOUSE,Arap1,"ARAP1_MOUSE Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",7,3.12991,2.88964,2.54007,3.02078,3.22589,3.06647,13.0496,10.0646,22.7814,10.82,25.4116,1567,2.978793333,16.42544,5.514125406
sp|P35486|ODPA_MOUSE,Pdha1,"ODPA_MOUSE Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",9,10.5033,8.73632,10.992,10.7487,11.6931,9.87572,6.91153,8.29849,7.61956,7.86946,6.75177,1868,10.42485667,7.490162,0.718490646
sp|Q8BIV3|RNBP6_MOUSE,Ranbp6,RNBP6_MOUSE Ran-binding protein 6,2,8.37575,12.9762,9.76579,11.9169,9.87226,13.1757,5.1006,5.99531,4.00625,14.0291,4.78613,2013,11.01376667,6.783478,0.615908999
sp|Q8BKC5|IPO5_MOUSE,Ipo5,IPO5_MOUSE Importin-5,48,8.80047,8.88072,10.1881,9.59164,10.2978,9.69217,7.38361,5.92613,8.37389,12.2302,8.63535,2012,9.57515,8.509836,0.888741795
sp|E9Q1P8|I2BP2_MOUSE,Irf2bp2,I2BP2_MOUSE Interferon regulatory factor 2-binding protein 2,3,3.83127,4.48819,3.67487,4.16761,4.9442,4.64567,15.0938,16.2889,11.9658,16.633,14.2667,57,4.291968333,14.84964,3.459867093
tr|Q3U4S0|Q3U4S0_MOUSE,Pank2,Q3U4S0_MOUSE Pantothenate kinase 2 (Hallervorden-Spatz syndrome),2,7.20606,7.6103,6.45006,5.75246,7.56873,7.14538,10.9047,7.72959,13.008,11.1264,15.4983,3398,6.955498333,11.653398,1.675422442
sp|Q8R2W9|PANK3_MOUSE,Pank3,PANK3_MOUSE Pantothenate kinase 3,1,6.68367,6.34314,9.00452,8.84656,8.10522,5.85234,10.5708,10.3847,9.44801,12.8981,11.863,3399,7.472575,11.032922,1.476455171
sp|Q6PAJ1|BCR_MOUSE,Bcr,BCR_MOUSE Breakpoint cluster region protein,2,7.15343,7.66751,6.70195,6.86092,7.10963,8.43657,16.2437,12.252,9.29789,10.5303,7.74609,59,7.321668333,11.213996,1.531617589
sp|Q62468|VILI_MOUSE,Vil1,VILI_MOUSE Villin-1,10,1.36282,1.56313,1.312,1.75628,1.68998,2.00189,18.4376,33.3664,20.4564,8.1128,9.94076,61,1.61435,18.062792,11.1888946
sp|Q925N2|SFXN2_MOUSE,Sfxn2,SFXN2_MOUSE Sideroflexin-2,9,12.3026,11.5748,15.3587,17.6821,17.0034,15.0608,2.46995,1.85114,2.78141,1.57413,2.34106,7575,14.8304,2.203538,0.148582506
tr|Q91VA7|Q91VA7_MOUSE,Idh3b,Q91VA7_MOUSE Isocitrate dehydrogenase 3 (NAD+) beta,12,17.5146,11.1307,20.7179,16.7695,8.20694,12.4372,1.49275,2.48046,1.048,7.13346,1.06836,64,14.46280667,2.644606,0.182855656
tr|F7BE84|F7BE84_MOUSE,Ankrd50,F7BE84_MOUSE Protein Ankrd50 (Fragment),3,4.09273,3.7323,3.89344,4.42321,4.89523,4.42019,16.8526,19.992,10.6629,15.7802,11.2552,69,4.24285,14.90858,3.51381265
sp|P42669|PURA_MOUSE,Pura,PURA_MOUSE Transcriptional activator protein Pur-alpha,18,11.3862,10.6415,11.4129,11.2476,11.3906,11.2795,7.60527,8.06509,5.90849,6.26437,4.79862,71,11.22638333,6.528368,0.581520139
sp|Q8VDJ3|VIGLN_MOUSE,Hdlbp,VIGLN_MOUSE Vigilin,239,14.4678,14.8628,15.1396,14.699,15.0528,14.1838,2.63841,2.39493,2.29999,2.00941,2.25146,76,14.7343,2.31884,0.157377005
sp|Q8K0Y7|CI142_MOUSE,,CI142_MOUSE Uncharacterized protein C9orf142 homolog,1,6.33145,6.6075,5.52029,6.73677,6.90399,5.41233,7.69785,22.077,11.5369,7.81194,13.364,8127,6.252055,12.497538,1.998948826
sp|P55264|ADK_MOUSE,Adk,ADK_MOUSE Adenosine kinase,53,14.5039,15.5991,15.8364,14.1324,14.1384,14.9608,2.08455,2.92508,2.1329,2.08465,1.60189,83,14.86183333,2.165814,0.145729935
tr|E9PWQ3|E9PWQ3_MOUSE,Col6a3,E9PWQ3_MOUSE Protein Col6a3,182,3.70757,3.23908,3.65766,3.97152,3.78203,3.61215,17.2412,13.5439,12.8328,22.5589,11.8531,723,3.661668333,15.60598,4.261986226
tr|J3QQ16|J3QQ16_MOUSE,Col6a3,J3QQ16_MOUSE Protein Col6a3,1,5.17213,7.21758,3.66142,8.0414,5.98163,7.05237,12.789,15.8438,17.3403,7.32805,9.57229,8128,6.187755,12.574688,2.032189057
sp|Q60931|VDAC3_MOUSE,Vdac3,VDAC3_MOUSE Voltage-dependent anion-selective channel protein 3,43,8.84597,11.3552,7.83267,8.35377,9.4178,10.5631,10.4559,7.99285,8.44135,7.949,8.7923,86,9.394751667,8.72628,0.928846265
sp|Q60932|VDAC1_MOUSE,Vdac1,VDAC1_MOUSE Voltage-dependent anion-selective channel protein 1,50,7.84026,8.50593,8.36076,8.62167,8.32937,8.10987,11.1548,10.4807,8.61241,11.2258,8.75851,87,8.294643333,10.046444,1.211196624
sp|Q6ZQ38|CAND1_MOUSE,Cand1,CAND1_MOUSE Cullin-associated NEDD8-dissociated protein 1,26,7.50267,8.05026,8.05913,7.77778,8.59261,7.87193,12.0068,10.8851,9.80948,9.68195,9.76237,185,7.97573,10.42914,1.30760946
sp|P70399|TP53B_MOUSE,Tp53bp1,TP53B_MOUSE Tumor suppressor p53-binding protein 1,7,4.16065,4.48337,4.20578,4.49113,4.54503,4.54588,14.3717,14.6391,12.4924,19.6648,12.4001,8129,4.405306667,14.71362,3.339976332
sp|O35855|BCAT2_MOUSE,Bcat2,"BCAT2_MOUSE Branched-chain-amino-acid aminotransferase, mitochondrial",43,15.9477,15.4543,16.2518,14.4971,14.0564,14.4604,1.94408,2.28192,1.85678,1.43204,1.8176,100,15.11128333,1.866484,0.123515916
sp|Q9JLI6|SCLY_MOUSE,Scly,SCLY_MOUSE Selenocysteine lyase,4,11.423,7.48766,9.7817,10.9348,10.8852,10.2901,4.5931,9.01434,7.69557,9.91861,7.9759,101,10.13374333,7.839504,0.773603963
sp|P97868|RBBP6_MOUSE,Rbbp6,RBBP6_MOUSE E3 ubiquitin-protein ligase RBBP6,3,4.70913,4.61595,4.92971,4.75133,5.58752,4.72662,13.3488,13.8311,13.5954,13.7074,16.197,106,4.88671,14.13594,2.892731511
sp|F6ZDS4|TPR_MOUSE,Tpr,TPR_MOUSE Nucleoprotein TPR,57,5.25663,5.30879,4.97683,5.0495,5.80121,5.17329,13.1189,14.6317,11.4249,15.2347,14.0237,108,5.261041667,13.68678,2.601534234
sp|Q9WUZ9|ENTP5_MOUSE,Entpd5,ENTP5_MOUSE Ectonucleoside triphosphate diphosphohydrolase 5,4,4.88862,5.73778,4.59132,5.48212,6.06972,5.07679,16.527,9.90088,16.2137,8.50902,17.0031,110,5.307725,13.63074,2.568094617
sp|Q9WTX2|PRKRA_MOUSE,Prkra,PRKRA_MOUSE Interferon-inducible double-stranded RNA-dependent protein kinase activator A,1,5.81746,5.50565,4.58703,5.55783,6.32151,5.5289,13.3427,16.3078,11.3102,12.991,12.7299,115,5.553063333,13.33632,2.401614964
sp|Q08509|EPS8_MOUSE,Eps8,EPS8_MOUSE Epidermal growth factor receptor kinase substrate 8,15,4.0323,4.28668,3.70743,4.01773,4.14847,4.44955,12.8495,17.5624,13.5096,18.0723,13.364,116,4.107026667,15.07156,3.669701033
sp|P14873|MAP1B_MOUSE,Map1b,MAP1B_MOUSE Microtubule-associated protein 1B,37,3.17611,3.65244,3.15179,2.97434,3.20283,3.46639,27.0037,9.32361,8.13165,27.3025,8.61464,117,3.27065,16.07522,4.914992433
sp|P28660|NCKP1_MOUSE,Nckap1,NCKP1_MOUSE Nck-associated protein 1,16,7.65094,8.51953,8.4737,8.02945,8.1288,8.52359,12.5849,12.2441,8.22301,10.3237,7.29825,121,8.221001667,10.134792,1.232792841
tr|Q8K1X4|Q8K1X4_MOUSE,Nckap1l,Q8K1X4_MOUSE NCK associated protein 1 like,13,5.75647,4.10245,5.92588,5.67816,7.75696,4.82614,7.53869,7.13262,21.3646,7.21931,22.6987,2192,5.674343333,13.190784,2.324636213
sp|Q9QXS1|PLEC_MOUSE,Plec,PLEC_MOUSE Plectin,224,4.12151,4.57988,4.12368,4.05136,4.49698,4.54876,20.5572,13.6082,10.8912,18.4677,10.5535,1045,4.320361667,14.81556,3.429240685
sp|Q9QXS1-14|PLEC_MOUSE,Plec,PLEC_MOUSE Isoform PLEC-1G of Plectin,1,2.35461,2.50496,1.50251,1.79883,2.6651,2.81495,17.7494,13.3459,12.7057,33.2974,9.26056,8130,2.273493333,17.271792,7.597027775
sp|P63325|RS10_MOUSE,Rps10,RS10_MOUSE 40S ribosomal protein S10,49,14.0069,14.0925,14.2662,14.2002,13.9462,13.8171,3.31969,3.31897,2.95501,2.82562,3.25159,1054,14.05485,3.134176,0.222996048
sp|Q8R0W0|EPIPL_MOUSE,Eppk1,EPIPL_MOUSE Epiplakin,51,6.59116,8.68583,6.68585,7.95218,9.91503,10.2615,7.55341,12.8189,17.5523,4.57951,7.40432,1047,8.348591667,9.981688,1.195613392
tr|B1AWE0|B1AWE0_MOUSE,Clta,B1AWE0_MOUSE Clathrin light chain A,4,6.38392,6.47542,6.30116,6.19645,6.37134,6.24589,9.35336,10.4996,13.7179,9.93354,18.5214,129,6.32903,12.40516,1.96004127
sp|Q61712|DNJC1_MOUSE,Dnajc1,DNJC1_MOUSE DnaJ homolog subfamily C member 1,11,13.7591,14.1267,13.4591,15.2421,13.8233,15.5624,3.11347,3.19321,2.63507,2.51917,2.56647,132,14.32878333,2.805478,0.195793176
sp|Q9QZV9|NXT1_MOUSE,Nxt1,NXT1_MOUSE NTF2-related export protein 1,1,9.95973,9.36421,10.5868,9.81438,8.06217,10.4109,4.91943,7.35591,2.21492,23.6687,3.64289,134,9.699698333,8.36037,0.86192062
sp|Q922D8|C1TC_MOUSE,Mthfd1,"C1TC_MOUSE C-1-tetrahydrofolate synthase, cytoplasmic",61,13.9532,14.091,13.7298,13.5163,13.1301,13.4144,3.49335,3.90506,4.06506,3.04011,3.6616,3266,13.63913333,3.633036,0.266368538
sp|Q3V3R1|C1TM_MOUSE,Mthfd1l,"C1TM_MOUSE Monofunctional C1-tetrahydrofolate synthase, mitochondrial",30,8.87365,9.84588,8.9814,10.7698,10.3812,9.44364,10.6101,9.05818,6.77544,7.3958,7.86493,603,9.715928333,8.34089,0.858475867
sp|A6H5Y3|METH_MOUSE,Mtr,METH_MOUSE Methionine synthase,8,7.16357,7.64819,6.29793,6.34194,7.05732,7.30907,9.63135,7.60819,15.8002,10.3396,14.8026,136,6.96967,11.636388,1.669575174
sp|Q3UMT1|PP12C_MOUSE,Ppp1r12c,PP12C_MOUSE Protein phosphatase 1 regulatory subunit 12C,3,6.38279,7.83329,6.98967,7.25265,7.07566,7.45921,10.3398,11.069,13.5651,10.0508,11.9821,139,7.165545,11.40136,1.591136473
sp|Q9D8M7|PHF10_MOUSE,Phf10,PHF10_MOUSE PHD finger protein 10,2,6.23462,5.24693,7.02522,6.98526,5.84955,7.13921,11.0027,11.661,12.6,14.3814,11.874,6863,6.413465,12.30382,1.918435666
sp|P50149|GNAT2_MOUSE,Gnat2,GNAT2_MOUSE Guanine nucleotide-binding protein G(t) subunit alpha-2,1,9.87157,11.7068,14.9385,10.6403,7.19078,10.2621,5.13288,4.62854,9.1017,7.4448,9.0821,8131,10.76834167,7.078004,0.657297495
sp|B2RSH2|GNAI1_MOUSE,Gnai1,GNAI1_MOUSE Guanine nucleotide-binding protein G(i) subunit alpha-1,18,10.0301,8.5602,9.12867,8.99253,8.84686,9.88635,7.42918,7.86042,10.3415,8.28181,10.6424,2654,9.240785,8.911062,0.964318724
sp|P08752|GNAI2_MOUSE,Gnai2,GNAI2_MOUSE Guanine nucleotide-binding protein G(i) subunit alpha-2,18,4.05113,3.60617,4.07198,3.90402,4.36875,3.66963,10.4171,10.699,20.662,14.0239,20.5263,2652,3.94528,15.26566,3.869347676
sp|Q9DC51|GNAI3_MOUSE,Gnai3,GNAI3_MOUSE Guanine nucleotide-binding protein G(k) subunit alpha,21,12.0629,11.6366,9.71499,10.7769,9.85947,12.6942,5.36362,7.85263,5.64985,8.34687,6.04196,2653,11.12417667,6.650986,0.597885686
sp|P63094-2|GNAS2_MOUSE,Gnas,GNAS2_MOUSE Isoform Gnas-2 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,8,10.7123,8.39631,13.3632,10.7663,10.6115,10.1587,6.44039,7.0003,6.64607,9.33036,6.57457,8132,10.66805167,7.198338,0.674756575
sp|P27601|GNA13_MOUSE,Gna13,GNA13_MOUSE Guanine nucleotide-binding protein subunit alpha-13,4,6.43181,8.46802,5.02795,7.36399,6.29265,8.35194,8.82187,12.6987,13.3128,8.93811,14.2922,2651,6.989393333,11.612736,1.661479823
sp|P18872-2|GNAO_MOUSE,Gnao1,GNAO_MOUSE Isoform Alpha-2 of Guanine nucleotide-binding protein G(o) subunit alpha,2,9.01168,10.3202,6.96975,9.96118,8.89715,11.2056,7.28162,11.5215,8.21801,11.0609,5.5524,8133,9.39426,8.726886,0.928959386
sp|Q9ESV0|DDX24_MOUSE,Ddx24,DDX24_MOUSE ATP-dependent RNA helicase DDX24,3,4.98327,6.48339,4.91614,5.90597,5.78556,6.44451,9.69283,14.9486,8.27061,23.3305,9.23857,3967,5.75314,13.096222,2.276360735
sp|Q80VD1|FA98B_MOUSE,Fam98b,FA98B_MOUSE Protein FAM98B,10,4.90205,3.89121,5.88879,5.54764,5.7148,5.14624,11.9863,16.1888,13.9946,17.3682,9.3715,140,5.181788333,13.78188,2.659676373
sp|Q3TJZ6|FA98A_MOUSE,Fam98a,FA98A_MOUSE Protein FAM98A,13,13.6025,13.4951,14.8671,13.5854,12.4445,13.2442,3.99676,4.03376,3.25275,4.57883,2.89917,141,13.5398,3.752254,0.277127727
sp|P15508|SPTB1_MOUSE,Sptb,"SPTB1_MOUSE Spectrin beta chain, erythrocytic",21,10.2186,9.30325,9.03083,12.4483,8.46797,9.83177,10.2176,6.28907,14.1896,4.44123,5.56176,369,9.883453333,8.139852,0.823583795
sp|Q62261|SPTB2_MOUSE,Sptbn1,"SPTB2_MOUSE Spectrin beta chain, non-erythrocytic 1",163,6.2896,6.37853,5.56455,6.31357,6.15329,6.31374,11.7068,14.2881,11.7758,14.5419,10.6742,367,6.16888,12.59736,2.042082193
tr|Q68FG2|Q68FG2_MOUSE,Sptbn2,Q68FG2_MOUSE Protein Sptbn2,26,12.0098,13.9641,11.3691,11.4447,13.8781,14.185,4.07487,7.29948,5.71158,2.06719,3.99604,366,12.80846667,4.629832,0.36146653
sp|P27046|MA2A1_MOUSE,Man2a1,MA2A1_MOUSE Alpha-mannosidase 2,33,9.59613,12.6768,12.4512,10.8209,11.5614,10.9968,6.46446,6.16746,6.66704,5.71844,6.87932,148,11.35053833,6.379344,0.562030083
sp|Q9JMH9|MY18A_MOUSE,Myo18a,MY18A_MOUSE Unconventional myosin-XVIIIa,23,7.37479,7.74403,7.53603,7.63107,8.00458,7.62927,10.7915,10.1379,14.116,5.29874,13.736,150,7.653295,10.816028,1.413251155
sp|Q8BTI9|PK3CB_MOUSE,Pik3cb,"PK3CB_MOUSE Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",3,8.20568,7.58977,9.25762,8.37056,8.70442,7.01055,6.85125,8.79481,11.5701,9.3239,14.3213,4174,8.189766667,10.172272,1.24207104
sp|P47791|GSHR_MOUSE,Gsr,"GSHR_MOUSE Glutathione reductase, mitochondrial",22,7.56096,6.9098,7.1446,6.97087,7.11157,7.17573,13.3377,17.5292,7.83766,9.19129,9.23066,819,7.145588333,11.425302,1.598930902
