Protein Id,Gene Symbol,Description,Number of peptides,RAW sum signal-to-noise,,,,,,,,,,Normalized sum signal-to-noise,,,,,,,,,,"TMT relative abundance (scaled, i.e., sum across 11 channels for each protein=100)",,,,,,,,,,,,,
,,,,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5,,,,
,,,,126,127n,127c,128n,128c,129n,129c,130n,130c,131,126,127n,127c,128n,128c,129n,129c,130n,130c,131,126,127n,127c,128n,128c,129n,129c,130n,130c,131,,,,
sp|Q9DB43|ZFPL1_MOUSE,Zfpl1,ZFPL1_MOUSE Zinc finger protein-like 1,10,1242.52,1268.68,1354.03,1319.57,1362.96,1182.12,1245.21,1116.66,1403.74,1013.72,1262.35,1316.59,1354.03,1343.87,1422.54,1348.38,1325.59,1225.6,1438.65,1360.99,9.42153,9.8263,10.1058,10.0299,10.6171,10.0636,9.89353,9.14723,10.7373,10.1577,,,,
sp|Q3UJB9|EDC4_MOUSE,Edc4,EDC4_MOUSE Enhancer of mRNA-decapping protein 4,29,5739.66,5517.54,6135.59,5594.89,5430.83,5170.64,5503.73,5472.87,5836.42,4164.12,5831.27,5725.86,6135.59,5697.93,5668.25,5897.84,5859.02,6006.81,5981.57,5590.61,9.98594,9.80544,10.5071,9.7576,9.70678,10.1,10.0335,10.2866,10.2433,9.57382,,,,
tr|F6V5I7|F6V5I7_MOUSE,Edc4,F6V5I7_MOUSE Enhancer of mRNA-decapping protein 4 (Fragment),1,251.79,208.316,191.374,352.18,180.778,395.931,359.705,300.744,210.379,184.867,255.808,216.182,191.374,358.666,188.682,451.615,382.925,330.085,215.611,248.197,9.01004,7.61433,6.74056,12.6329,6.64572,15.9067,13.4873,11.6262,7.59424,8.74196,,,,
sp|Q7TME2|SPAG5_MOUSE,Spag5,SPAG5_MOUSE Sperm-associated antigen 5,1,174.374,177.328,201.334,138.67,156.54,146.698,139.064,116.734,176.469,96.0785,177.157,184.024,201.334,141.224,163.383,167.329,148.041,128.123,180.858,128.992,10.9325,11.3562,12.4245,8.71501,10.0825,10.326,9.13574,7.90657,11.1609,7.96017,,,,
tr|E9Q6U4|E9Q6U4_MOUSE,Pfdn4,E9Q6U4_MOUSE Protein Pfdn4,3,735.296,926.5,735.809,872.239,662.995,826.874,704.484,859.937,685.292,629.188,747.031,961.482,735.809,888.303,691.979,943.167,749.961,943.835,702.336,844.728,9.10056,11.7131,8.96384,10.8216,8.4299,11.4899,9.13625,11.4981,8.55607,10.2907,,,,
sp|Q6NV83|SR140_MOUSE,U2surp,SR140_MOUSE U2 snRNP-associated SURP motif-containing protein,22,4657.32,4618.88,4930.21,4181.33,4114.63,4098.48,4342.62,4534.03,4541.82,3223.41,4731.65,4793.27,4930.21,4258.34,4294.51,4674.9,4622.96,4976.38,4654.78,4327.65,10.2274,10.3605,10.6565,9.2043,9.28249,10.1047,9.99242,10.7563,10.0612,9.35411,,,,
sp|Q9R1T4|SEPT6_MOUSE,6-Sep,SEPT6_MOUSE Septin-6,4,526.778,546.664,580.977,655.921,632.435,485.71,502.994,549.587,606.021,492.979,535.186,567.305,580.977,668.001,660.084,554.021,535.465,603.206,621.094,661.858,8.93884,9.4753,9.70366,11.1572,11.0249,9.25342,8.9435,10.0749,10.3737,11.0546,,,,
sp|Q8C1B7|SEP11_MOUSE,11-Sep,SEP11_MOUSE Septin-11,21,5283.05,5077,5610.8,5516.57,5320.74,5066.29,5774.43,5397.48,5569.67,4329.84,5367.36,5268.69,5610.8,5618.17,5553.35,5778.82,6147.19,5924.07,5708.19,5813.11,9.45129,9.27754,9.87995,9.89293,9.77879,10.1758,10.8245,10.4316,10.0514,10.2362,,,,
sp|O55131|SEPT7_MOUSE,7-Sep,SEPT7_MOUSE Septin-7,28,5717.58,5343.54,5783.32,5644.44,5325.63,5077.05,5605.35,5538.5,5454.7,4506.61,5808.83,5545.3,5783.32,5748.4,5558.45,5791.09,5967.2,6078.85,5590.37,6050.43,10.0287,9.57369,9.98463,9.92433,9.5964,9.99805,10.3021,10.4948,9.6515,10.4458,,,,
sp|Q80UG5|SEPT9_MOUSE,9-Sep,SEPT9_MOUSE Septin-9,26,4403.01,4499.77,4652.28,4372.6,4250.27,4513.24,4947.19,4697.22,4887.75,3685.44,4473.28,4669.67,4652.28,4453.14,4436.08,5147.99,5266.55,5155.49,5009.31,4947.96,9.2784,9.68575,9.64967,9.23662,9.20124,10.6779,10.9238,10.6934,10.3902,10.263,,,,
sp|Q8C650|SEP10_MOUSE,10-Sep,SEP10_MOUSE Septin-10,11,2108.32,2194.06,2364.89,2097.74,2162.75,2297.62,2692.51,2680.1,2539.06,1908.08,2141.97,2276.91,2364.89,2136.38,2257.3,2620.76,2866.32,2941.58,2602.2,2561.73,8.64741,9.19218,9.54737,8.62486,9.11304,10.5804,11.5717,11.8756,10.5054,10.342,,,,
sp|Q8CHH9|SEPT8_MOUSE,8-Sep,SEPT8_MOUSE Septin-8,8,1285.79,1197.13,1286.25,1299.29,1322.22,1033.41,1198.79,1121.16,1268.87,986.172,1306.31,1242.33,1286.25,1323.22,1380.03,1178.75,1276.18,1230.55,1300.43,1324,10.1674,9.66943,10.0113,10.299,10.7411,9.17457,9.93284,9.57768,10.1216,10.3051,,,,
sp|P97807|FUMH_MOUSE,Fh,"FUMH_MOUSE Fumarate hydratase, mitochondrial",46,11024.2,10315.9,10848.7,11948.8,10937.1,8938.23,9512.13,9379.23,10582.8,8345.24,11200.2,10705.4,10848.7,12168.8,11415.2,10195.3,10126.2,10294.3,10846.1,11204.1,10.275,9.82109,9.95253,11.1636,10.4723,9.35314,9.28971,9.44394,9.95013,10.2786,,,,
sp|P26039|TLN1_MOUSE,Tln1,TLN1_MOUSE Talin-1,162,27941.6,26393.9,28369.1,32244.3,33835.7,24418.2,26784.9,25368.9,29539.4,23129,28387.6,27390.4,28369.1,32838.1,35314.9,27852.4,28514,27844,30274.1,31052.2,9.53125,9.19646,9.52504,11.0255,11.8571,9.35156,9.57369,9.34873,10.1647,10.4259,,,,
sp|Q71LX4|TLN2_MOUSE,Tln2,TLN2_MOUSE Talin-2,37,5349.86,5365.85,5608.9,6591.3,6525.72,4931.36,5282.71,5968.31,6234.77,4874.09,5435.24,5568.45,5608.9,6712.69,6811.01,5624.91,5623.73,6550.59,6389.83,6543.8,8.92938,9.14822,9.21469,11.0281,11.1896,9.24099,9.23905,10.7618,10.4977,10.7506,,,,
sp|Q9CZW5|TOM70_MOUSE,Tomm70a,TOM70_MOUSE Mitochondrial import receptor subunit TOM70,35,9079.82,9114.81,9322.93,8533.79,8318.7,8554.84,8850.42,8762.68,9304.88,6695.08,9224.73,9458.96,9322.93,8690.96,8682.37,9758,9421.75,9617.59,9536.3,8988.6,9.95093,10.2036,10.0569,9.37514,9.36588,10.5262,10.1635,10.3747,10.287,9.69621,,,,
sp|Q7TND5|RPF1_MOUSE,Rpf1,RPF1_MOUSE Ribosome production factor 1,4,1149.85,1132,1054.35,985.482,1044.61,1060.49,980.021,1056.05,1042.95,815.406,1168.2,1174.74,1054.35,1003.63,1090.28,1209.63,1043.29,1159.08,1068.88,1094.74,10.5559,10.615,9.52713,9.06884,9.85178,10.9303,9.42715,10.4735,9.65845,9.89207,,,,
tr|Q8C845|Q8C845_MOUSE,Efhd2,Q8C845_MOUSE EF-hand domain-containing protein D2,27,6508.88,6297.02,6380.82,6621.08,6209.23,5973.55,6346.72,6288.22,6539.84,5263.35,6612.75,6534.77,6380.82,6743.02,6480.68,6813.68,6756.43,6901.72,6702.49,7066.41,9.87084,9.75444,9.52464,10.0653,9.6737,10.1708,10.0853,10.3022,10.0048,10.548,,,,
tr|E9PV60|E9PV60_MOUSE,Wdfy4,E9PV60_MOUSE Protein Wdfy4,6,1207.17,869.915,913.732,1033.28,1247.09,977.413,954.535,803.351,919.065,807.299,1226.43,902.761,913.732,1052.31,1301.61,1114.88,1016.15,881.729,941.922,1083.85,11.7526,8.65096,8.75609,10.0841,12.4731,10.6836,9.73758,8.44941,9.02623,10.3863,,,,
sp|Q9D061|ACBD6_MOUSE,Acbd6,ACBD6_MOUSE Acyl-CoA-binding domain-containing protein 6,3,406.796,393.96,452.411,359.331,375.598,346.322,377.184,386.69,419.468,277.405,413.288,408.834,452.411,365.949,392.018,395.029,401.533,424.416,429.901,372.435,10.19,10.0802,11.1546,9.02283,9.66558,9.73982,9.90017,10.4644,10.5996,9.18274,,,,
tr|F8VQL9|F8VQL9_MOUSE,Ncor2,F8VQL9_MOUSE Nuclear receptor corepressor 2,15,2000.75,1954.09,2302.22,1987.72,1887.29,2141.99,2532.85,2305.06,2330.47,1698.18,2032.68,2027.87,2302.22,2024.33,1969.8,2443.24,2696.36,2529.95,2388.43,2279.92,8.95657,8.93541,10.1442,8.9198,8.67952,10.7656,11.881,11.1477,10.5241,10.046,,,,
tr|E9Q2B2|E9Q2B2_MOUSE,Ncor1,E9Q2B2_MOUSE Nuclear receptor corepressor 1,20,2175.61,2177.69,2267.33,2087.63,2077.12,2029.91,2158.57,2135.58,2183.72,1652.16,2210.33,2259.92,2267.33,2126.08,2167.93,2315.4,2297.92,2343.93,2238.03,2218.14,9.84776,10.0687,10.1017,9.4724,9.65884,10.3159,10.238,10.443,9.97116,9.88257,,,,
sp|Q9QUR8|SEM7A_MOUSE,Sema7a,SEM7A_MOUSE Semaphorin-7A,2,152.84,142.151,156.197,122.267,130.237,237.886,278.568,254.843,251.139,199.891,155.279,147.519,156.197,124.519,135.931,271.343,296.55,279.706,257.385,268.368,7.41971,7.04888,7.46356,5.94989,6.49517,12.9656,14.1701,13.3652,12.2986,12.8234,,,,
sp|Q62009-2|POSTN_MOUSE,Postn,POSTN_MOUSE Isoform 2 of Periostin,46,10299.5,9997.4,10282.6,13555.9,14073.9,8478.59,9813.55,9316.42,11114.8,9787.51,10463.9,10374.9,10282.6,13805.6,14689.2,9671.03,10447.1,10225.4,11391.2,13140.4,9.1395,9.06172,8.98113,12.0582,12.83,8.44697,9.12477,8.93113,9.94943,11.4772,,,,
sp|A2AGT5|CKAP5_MOUSE,Ckap5,CKAP5_MOUSE Cytoskeleton-associated protein 5,52,12032.4,11217.6,12493.2,11382.1,11308.5,10947,11668.7,11164.3,12360.1,8745.97,12224.4,11641.2,12493.2,11591.8,11802.9,12486.6,12421.9,12253.5,12667.5,11742.1,10.0757,9.59502,10.2973,9.55429,9.7283,10.2919,10.2386,10.0997,10.441,9.67818,,,,
sp|B2RXC1|TPC11_MOUSE,Trappc11,TPC11_MOUSE Trafficking protein particle complex subunit 11,14,2288.78,2210.08,2241.46,2347.62,2326.28,2049.41,2105.07,2020.16,2276.1,1696.63,2325.31,2293.53,2241.46,2390.85,2427.98,2337.64,2240.96,2217.25,2332.7,2277.84,10.0726,9.93493,9.70937,10.3565,10.5173,10.126,9.70721,9.60451,10.1046,9.86696,,,,
sp|Q60864|STIP1_MOUSE,Stip1,STIP1_MOUSE Stress-induced-phosphoprotein 1,55,14616.2,13931.7,14895.8,13297,12757.2,12486.4,12151.7,11527.4,13051.9,9416.94,14849.5,14457.7,14895.8,13541.9,13314.9,14242.4,12936.1,12652.1,13376.5,12642.9,10.8462,10.56,10.88,9.89108,9.72532,10.4028,9.44864,9.24119,9.77029,9.23446,,,,
sp|Q64345|IFIT3_MOUSE,Ifit3,IFIT3_MOUSE Interferon-induced protein with tetratricopeptide repeats 3,9,2300.84,3114.17,2861.68,1572.62,2214.89,1292.68,1215.43,1358.71,1115.86,708.59,2337.56,3231.75,2861.68,1601.59,2311.72,1474.49,1293.89,1491.27,1143.61,951.33,12.5011,17.2831,15.304,8.56515,12.3629,7.88544,6.91959,7.97516,6.11592,5.08763,,,,
tr|E9PV48|E9PV48_MOUSE,I830012O16Rik,E9PV48_MOUSE Protein I830012O16Rik,1,422.333,689.245,570.968,314.811,443.333,256.748,210.421,215.853,188.822,132.076,429.073,715.269,570.968,320.609,462.714,292.857,224.005,236.912,193.518,177.32,11.8422,19.7411,15.7585,8.84867,12.7707,8.08273,6.18244,6.53867,5.34101,4.89397,,,,
sp|Q8VE47|UBA5_MOUSE,Uba5,UBA5_MOUSE Ubiquitin-like modifier-activating enzyme 5,19,4431.14,3900.01,4260.69,4592.29,4805.62,3320.23,3592.37,3351.21,4411.17,3225.53,4501.86,4047.26,4260.69,4676.87,5015.71,3787.2,3824.27,3678.16,4520.88,4330.49,10.557,9.49095,9.99144,10.9674,11.762,8.88108,8.96802,8.6254,10.6016,10.1551,,,,
sp|Q61140|BCAR1_MOUSE,Bcar1,BCAR1_MOUSE Breast cancer anti-estrogen resistance protein 1,11,1786.9,1781.43,1783.39,1688.33,1661.73,1969.41,2159.27,2067.72,2097.61,1596.17,1815.42,1848.69,1783.39,1719.43,1734.37,2246.39,2298.66,2269.45,2149.78,2142.96,9.07324,9.23952,8.91314,8.59347,8.66816,11.2272,11.4884,11.3424,10.7443,10.7102,,,,
sp|P52795|EFNB1_MOUSE,Efnb1,EFNB1_MOUSE Ephrin-B1,5,1559.96,1448.59,1591.65,1954.45,1771.77,1529.3,1472.76,1511.44,1801.87,1593.18,1584.86,1503.28,1591.65,1990.45,1849.22,1744.39,1567.83,1658.9,1846.69,2138.96,9.06866,8.60188,9.10754,11.3895,10.5814,9.98147,8.97122,9.49232,10.5668,12.2392,,,,
sp|P30999|CTND1_MOUSE,Ctnnd1,CTND1_MOUSE Catenin delta-1,72,13293.2,13045.3,13598.3,12484,12184.3,14077.6,15812.6,14772.9,14909.8,11153.9,13505.4,13537.8,13598.3,12713.9,12717,16057.5,16833.4,16214.2,15280.6,14974.9,9.28633,9.30862,9.35024,8.74211,8.74423,11.0412,11.5746,11.1489,10.507,10.2968,,,,
sp|Q9D8N0|EF1G_MOUSE,Eef1g,EF1G_MOUSE Elongation factor 1-gamma,61,13346.4,12703.9,12933.6,12317.9,11195.2,12250.2,12808.7,12400.2,12820.2,9527.7,13559.4,13183.5,12933.6,12544.7,11684.6,13973.1,13635.6,13610,13139.1,12791.6,10.3463,10.0595,9.8688,9.57209,8.91579,10.662,10.4044,10.385,10.0256,9.76045,,,,
tr|E9PVZ8|E9PVZ8_MOUSE,Golgb1,E9PVZ8_MOUSE Protein Golgb1,92,15882.2,14525.6,15336.1,16571,15885.3,12512.7,12298,11989.5,14859.1,11481.5,16135.6,15074,15336.1,16876.2,16579.8,14272.5,13091.9,13159.3,15228.7,15414.7,10.6739,9.97166,10.145,11.1638,10.9677,9.44142,8.66046,8.705,10.074,10.197,,,,
sp|Q9JIF7|COPB_MOUSE,Copb1,COPB_MOUSE Coatomer subunit beta,70,15661.2,14440.6,15463.2,16076.7,15326.7,13315.7,14248,14174.5,15027.3,11689,15911.1,14985.8,15463.2,16372.8,15996.8,15188.5,15167.8,15557.4,15401,15693.2,10.2166,9.62249,9.92899,10.5131,10.2716,9.7526,9.73933,9.98948,9.8891,10.0767,,,,
sp|Q9D7Z3|NOL7_MOUSE,Nol7,NOL7_MOUSE Nucleolar protein 7,2,281.584,294.574,291.944,187.187,199.865,294.925,307.959,330.723,283.504,183.022,286.078,305.696,291.944,190.634,208.603,336.403,327.839,362.989,290.555,245.719,10.0503,10.7395,10.2564,6.69725,7.3285,11.8183,11.5174,12.7523,10.2076,8.63243,,,,
sp|Q68FH0|PKP4_MOUSE,Pkp4,PKP4_MOUSE Plakophilin-4,8,899.603,961.572,966.509,848.633,827.706,929.431,959.106,949.096,1035.22,730.503,913.961,997.879,966.509,864.262,863.892,1060.15,1021.02,1041.69,1060.97,980.75,9.35373,10.2126,9.89153,8.8451,8.84131,10.8498,10.4494,10.661,10.8583,10.0373,,,,
sp|Q8R3H9|TTC4_MOUSE,Ttc4,TTC4_MOUSE Tetratricopeptide repeat protein 4,6,973.722,944.892,1028.22,972.944,935.656,869.93,895.99,897.558,990.06,677.653,989.262,980.568,1028.22,990.864,976.56,992.278,953.83,985.127,1014.68,909.796,10.0727,9.98421,10.4694,10.089,9.9434,10.1034,9.71195,10.0306,10.3316,9.2636,,,,
sp|Q9D6J3|CCD94_MOUSE,Ccdc94,CCD94_MOUSE Coiled-coil domain-containing protein 94,5,854.647,801.018,868.297,797.716,796.716,733.544,814.311,749.944,813.437,566.728,868.286,831.262,868.297,812.407,831.546,836.71,866.878,823.111,833.667,760.871,10.4198,9.9755,10.4199,9.74924,9.97891,10.0409,10.4029,9.87768,10.0044,9.13077,,,,
sp|O08784|TCOF_MOUSE,Tcof1,TCOF_MOUSE Treacle protein,19,4755.96,4647.53,4791.84,4066.17,4040.53,4029.24,4061.82,4119.12,4368.09,3207.01,4831.87,4823,4791.84,4141.06,4217.17,4595.92,4324.02,4520.99,4476.73,4305.63,10.7307,10.7111,10.6419,9.19658,9.36562,10.2067,9.60292,10.0403,9.94205,9.56207,,,,
sp|Q06831|SOX4_MOUSE,Sox4,SOX4_MOUSE Transcription factor SOX-4,1,319.35,253.026,390.425,243.923,216.505,296.082,347.494,332.382,312.405,198.551,324.447,262.579,390.425,248.416,225.97,337.724,369.926,364.81,320.175,266.569,10.4289,8.44024,12.5497,7.98497,7.26347,10.8557,11.8908,11.7263,10.2916,8.56847,,,,
sp|Q9EPU4|CPSF1_MOUSE,Cpsf1,CPSF1_MOUSE Cleavage and polyadenylation specificity factor subunit 1,25,4087.73,3975.53,4209.39,3710.68,3752.81,3614.67,3925.89,3796.43,4002.69,2949.4,4152.97,4125.63,4209.39,3779.02,3916.88,4123.04,4179.32,4166.82,4102.24,3959.77,10.2001,10.1329,10.3386,9.28162,9.62022,10.1266,10.2648,10.2341,10.0755,9.72557,,,,
sp|Q505K2|F16A1_MOUSE,Fam160a1,F16A1_MOUSE Protein FAM160A1,2,314.027,288.697,264.122,281.873,268.338,312.114,357.948,320.113,312.377,232.627,319.039,299.598,264.122,287.064,280.069,356.01,381.055,351.344,320.146,312.317,10.0619,9.44875,8.32993,9.05347,8.83286,11.2279,12.0178,11.0807,10.0968,9.8499,,,,
sp|P35822|PTPRK_MOUSE,Ptprk,PTPRK_MOUSE Receptor-type tyrosine-protein phosphatase kappa,20,4411.3,4721.87,4641.62,4195.54,3836.54,4119.65,4320.93,4630.35,4209.59,3288.25,4481.7,4900.15,4641.62,4272.81,4004.26,4699.04,4599.87,5082.1,4314.29,4414.7,9.8693,10.7908,10.2214,9.40929,8.81791,10.3479,10.1295,11.1915,9.50063,9.72175,,,,
sp|Q9R0H0-2|ACOX1_MOUSE,Acox1,ACOX1_MOUSE Isoform 2 of Peroxisomal acyl-coenzyme A oxidase 1,20,3733.33,3767.55,3901.13,4374.23,3914.11,3204.01,3748.54,3626.8,3698,3563.44,3792.91,3909.8,3901.13,4454.79,4085.23,3654.63,3990.53,3980.64,3789.98,4784.16,9.40147,9.6912,9.66972,11.0421,10.126,9.05872,9.8913,9.86679,9.3942,11.8585,,,,
sp|E9Q1P8|I2BP2_MOUSE,Irf2bp2,I2BP2_MOUSE Interferon regulatory factor 2-binding protein 2,9,1593.87,1598.84,1757.9,1407.96,1462.99,1343.01,1393.15,1386.82,1543.43,1051.96,1619.31,1659.21,1757.9,1433.89,1526.94,1531.9,1483.09,1522.13,1581.81,1412.33,10.428,10.6849,11.3205,9.2339,9.83317,9.86506,9.55073,9.80215,10.1865,9.09506,,,,
sp|Q8K3X4|I2BPL_MOUSE,Irf2bpl,I2BPL_MOUSE Interferon regulatory factor 2-binding protein-like,6,605.664,546.648,567.872,555.531,589.215,673.028,792.695,723.551,707.186,543.185,615.33,567.288,567.872,565.762,614.974,767.684,843.867,794.143,724.774,729.263,9.06102,8.35359,8.36218,8.33111,9.05577,11.3045,12.4263,11.6941,10.6726,10.7387,,,,
sp|Q6PAJ1|BCR_MOUSE,Bcr,BCR_MOUSE Breakpoint cluster region protein,1,240.14,226.126,261.019,257.493,227.26,217.48,220.946,221.759,219.748,182.489,243.973,234.664,261.019,262.235,237.195,248.067,235.209,243.394,225.213,245.003,10.0154,9.63326,10.7152,10.7651,9.73719,10.1835,9.65564,9.99167,9.24532,10.0577,,,,
sp|Q5SSL4|ABR_MOUSE,Abr,ABR_MOUSE Active breakpoint cluster region-related protein,12,2226.83,2123.74,2314.6,2525.68,2288.06,1993.92,2222.28,2240.11,2192.69,2006.17,2262.37,2203.92,2314.6,2572.2,2388.09,2274.34,2365.73,2458.66,2247.23,2693.42,9.51352,9.26775,9.73316,10.8164,10.0422,9.56387,9.94817,10.339,9.44984,11.3261,,,,
sp|Q62468|VILI_MOUSE,Vil1,VILI_MOUSE Villin-1,96,18697.1,17951.1,18497.2,18905.2,17447.8,17537.9,19010.9,18545.6,19464.5,14950.2,18995.5,18628.9,18497.2,19253.4,18210.6,20004.4,20238.1,20355,19948.6,20071.6,9.78124,9.59247,9.52467,9.91406,9.37707,10.3008,10.4211,10.4813,10.272,10.3354,,,,
tr|F6V2H5|F6V2H5_MOUSE,Vil1,F6V2H5_MOUSE Villin-1 (Fragment),2,111.175,115.908,127.259,121.085,112.398,113.655,108.731,115.854,116.364,100.471,112.949,120.285,127.259,123.316,117.312,129.64,115.751,127.157,119.258,134.889,9.19917,9.79665,10.3647,10.0435,9.55455,10.5586,9.42735,10.3564,9.71302,10.9861,,,,
sp|Q80UJ7|RB3GP_MOUSE,Rab3gap1,RB3GP_MOUSE Rab3 GTPase-activating protein catalytic subunit,25,4922.72,4853.67,5026.75,5339.36,5145.72,5581.58,6027.74,5697.44,5805.61,4493.45,5001.29,5036.93,5026.75,5437.7,5370.67,6366.58,6416.86,6253.3,5950,6032.76,8.79071,8.85336,8.83547,9.55779,9.43998,11.1905,11.2788,10.9914,10.4583,10.6037,,,,
tr|Q91VA7|Q91VA7_MOUSE,Idh3b,Q91VA7_MOUSE Isocitrate dehydrogenase 3 (NAD+) beta,40,9185.35,9659.92,10037.1,9669.46,9171.37,8076.96,8733.4,8808.61,8946.68,7171.75,9331.94,10024.7,10037.1,9847.54,9572.32,9212.91,9297.18,9668.01,9169.19,9628.56,9.74214,10.4653,10.4783,10.2804,9.99309,9.61788,9.70585,10.093,9.57223,10.0518,,,,
sp|Q6P4S8|INT1_MOUSE,Ints1,INT1_MOUSE Integrator complex subunit 1,24,4209.11,4188.14,4628.93,4007.91,3991.64,3732.6,4281.06,4179.46,4167.84,3140.82,4276.29,4346.27,4628.93,4081.72,4166.14,4257.56,4557.42,4587.22,4271.5,4216.76,9.85551,10.0168,10.6683,9.40709,9.60166,9.81235,10.5034,10.5721,9.84448,9.71832,,,,
